"UNIPROT_ID"	"markers"	"bandle.allocation_DMSO"	"bandle.loc.probability_DMSO"	"bandle.loc.outlier_DMSO"	"confident.localisation_DMSO"	"bandle.allocation_Tg"	"bandle.loc.probability_Tg"	"bandle.loc.outlier_Tg"	"confident.localisation_Tg"	"bandle.diff.loc.prob"	"bandle.diff.loc.prob_lower_quartile"	"GENES"	"ENTRY-NAME"	"PROTEIN-NAMES"	"FUNCTION"
"O00308"	"unknown"	"PM"	0.996109508547724	1	"Undefined"	"ER"	0.969668416138759	1	"Undefined"	0.998110454082649	0.99753011293423	"WWP2"	"WWP2_HUMAN"	"NEDD4-like E3 ubiquitin-protein ligase WWP2 (EC 2.3.2.26) (Atrophin-1-interacting protein 2) (AIP2) (HECT-type E3 ubiquitin transferase WWP2) (WW domain-containing protein 2)"	"FUNCTION: E3 ubiquitin-protein ligase which accepts ubiquitin from an E2 ubiquitin-conjugating enzyme in the form of a thioester and then directly transfers the ubiquitin to targeted substrates. Polyubiquitinates POU5F1 by 'Lys-63'-linked conjugation and promotes it to proteasomal degradation; in embryonic stem cells (ESCs) the ubiquitination is proposed to regulate POU5F1 protein level. Ubiquitinates EGR2 and promotes it to proteasomal degradation; in T-cells the ubiquitination inhibits activation-induced cell death. Ubiquitinates SLC11A2; the ubiquitination is enhanced by presence of NDFIP1 and NDFIP2. Ubiquitinates RPB1 and promotes it to proteasomal degradation. {ECO:0000269|PubMed:19274063, ECO:0000269|PubMed:19651900}."
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"O00468"	"unknown"	"ER"	0.999999999786886	0	"ER"	"PEROXISOME"	0.999969200143117	0	"PEROXISOME"	0.997994335143741	0.997419671659721	"AGRN AGRIN"	"AGRIN_HUMAN"	"Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]"	"FUNCTION: [Isoform 1]: heparan sulfate basal lamina glycoprotein that plays a central role in the formation and the maintenance of the neuromuscular junction (NMJ) and directs key events in postsynaptic differentiation. Component of the AGRN-LRP4 receptor complex that induces the phosphorylation and activation of MUSK. The activation of MUSK in myotubes induces the formation of NMJ by regulating different processes including the transcription of specific genes and the clustering of AChR in the postsynaptic membrane. Calcium ions are required for maximal AChR clustering. AGRN function in neurons is highly regulated by alternative splicing, glycan binding and proteolytic processing. Modulates calcium ion homeostasis in neurons, specifically by inducing an increase in cytoplasmic calcium ions. Functions differentially in the central nervous system (CNS) by inhibiting the alpha(3)-subtype of Na+/K+-ATPase and evoking depolarization at CNS synapses. This secreted isoform forms a bridge, after release from motor neurons, to basal lamina through binding laminin via the NtA domain.; FUNCTION: [Isoform 2]: transmembrane form that is the predominate form in neurons of the brain, induces dendritic filopodia and synapse formation in mature hippocampal neurons in large part due to the attached glycosaminoglycan chains and the action of Rho-family GTPases.; FUNCTION: Isoform 1, isoform 4 and isoform 5: neuron-specific (z+) isoforms that contain C-terminal insertions of 8-19 AA are potent activators of AChR clustering. Isoform 5, agrin (z+8), containing the 8-AA insert, forms a receptor complex in myotubules containing the neuronal AGRN, the muscle-specific kinase MUSK and LRP4, a member of the LDL receptor family. The splicing factors, NOVA1 and NOVA2, regulate AGRN splicing and production of the 'z' isoforms.; FUNCTION: Isoform 3 and isoform 6: lack any 'z' insert, are muscle-specific and may be involved in endothelial cell differentiation.; FUNCTION: [Agrin N-terminal 110 kDa subunit]: is involved in regulation of neurite outgrowth probably due to the presence of the glycosaminoglcan (GAG) side chains of heparan and chondroitin sulfate attached to the Ser/Thr- and Gly/Ser-rich regions. Also involved in modulation of growth factor signaling (By similarity). {ECO:0000250, ECO:0000269|PubMed:19631309, ECO:0000269|PubMed:21969364}.; FUNCTION: [Agrin C-terminal 22 kDa fragment]: this released fragment is important for agrin signaling and to exert a maximal dendritic filopodia-inducing effect. All 'z' splice variants (z+) of this fragment also show an increase in the number of filopodia."
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"O00522"	"unknown"	"PM"	0.999893477573381	0	"PM"	"LYSOSOME"	0.987651434697351	0	"LYSOSOME"	0.993896811582553	0.991772806769859	"KRIT1 CCM1"	"KRIT1_HUMAN"	"Krev interaction trapped protein 1 (Krev interaction trapped 1) (Cerebral cavernous malformations 1 protein)"	"FUNCTION: Component of the CCM signaling pathway which is a crucial regulator of heart and vessel formation and integrity (By similarity). Negative regulator of angiogenesis. Inhibits endothelial proliferation, apoptosis, migration, lumen formation and sprouting angiogenesis in primary endothelial cells. Promotes AKT phosphorylation in a NOTCH-dependent and independent manner, and inhibits ERK1/2 phosphorylation indirectly through activation of the DELTA-NOTCH cascade. Acts in concert with CDH5 to establish and maintain correct endothelial cell polarity and vascular lumen and these effects are mediated by recruitment and activation of the Par polarity complex and RAP1B. Required for the localization of phosphorylated PRKCZ, PARD3, TIAM1 and RAP1B to the cell junction, and cell junction stabilization. Plays a role in integrin signaling via its interaction with ITGB1BP1; this prevents the interaction between ITGB1 and ITGB1BP1. Microtubule-associated protein that binds to phosphatidylinositol 4,5-bisphosphate (PIP2)-containing membranes in a GTP-bound RAP1-dependent manner. Plays an important role in the maintenance of the intracellular reactive oxygen species (ROS) homeostasis to prevent oxidative cellular damage. Regulates the homeostasis of intracellular ROS through an antioxidant pathway involving FOXO1 and SOD2. Facilitates the down-regulation of cyclin-D1 (CCND1) levels required for cell transition from proliferative growth to quiescence by preventing the accumulation of intracellular ROS through the modulation of FOXO1 and SOD2 levels. {ECO:0000250|UniProtKB:Q6S5J6, ECO:0000269|PubMed:11741838, ECO:0000269|PubMed:17916086, ECO:0000269|PubMed:20332120, ECO:0000269|PubMed:20616044, ECO:0000269|PubMed:20668652, ECO:0000269|PubMed:21633110, ECO:0000269|PubMed:23317506}."
"O00560"	"unknown"	"PM"	0.99850381902531	1	"Undefined"	"ER"	0.99999999999774	1	"Undefined"	0.998110720405851	0.997480056043619	"SDCBP MDA9 SYCL"	"SDCB1_HUMAN"	"Syntenin-1 (Melanoma differentiation-associated protein 9) (MDA-9) (Pro-TGF-alpha cytoplasmic domain-interacting protein 18) (TACIP18) (Scaffold protein Pbp1) (Syndecan-binding protein 1)"	"FUNCTION: Multifunctional adapter protein involved in diverse array of functions including trafficking of transmembrane proteins, neuro and immunomodulation, exosome biogenesis, and tumorigenesis (PubMed:26291527). Positively regulates TGFB1-mediated SMAD2/3 activation and TGFB1-induced epithelial-to-mesenchymal transition (EMT) and cell migration in various cell types. May increase TGFB1 signaling by enhancing cell-surface expression of TGFR1 by preventing the interaction between TGFR1 and CAV1 and subsequent CAV1-dependent internalization and degradation of TGFR1 (PubMed:25893292). In concert with SDC1/4 and PDCD6IP, regulates exosome biogenesis (PubMed:22660413). Regulates migration, growth, proliferation, and cell cycle progression in a variety of cancer types (PubMed:26539120). In adherens junctions may function to couple syndecans to cytoskeletal proteins or signaling components. Seems to couple transcription factor SOX4 to the IL-5 receptor (IL5RA) (PubMed:11498591). May also play a role in vesicular trafficking (PubMed:11179419). Seems to be required for the targeting of TGFA to the cell surface in the early secretory pathway (PubMed:10230395). {ECO:0000269|PubMed:10230395, ECO:0000269|PubMed:11179419, ECO:0000269|PubMed:11498591, ECO:0000269|PubMed:22660413, ECO:0000269|PubMed:25893292, ECO:0000269|PubMed:26539120, ECO:0000303|PubMed:26291527}."
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"O14613"	"unknown"	"ER"	0.937875437032026	1	"Undefined"	"NUCLEOPLASM-2"	0.999999981550096	1	"Undefined"	0.997991322071102	0.997351679548228	"CDC42EP2 BORG1 CEP2"	"BORG1_HUMAN"	"Cdc42 effector protein 2 (Binder of Rho GTPases 1)"	"FUNCTION: Probably involved in the organization of the actin cytoskeleton. May act downstream of CDC42 to induce actin filament assembly leading to cell shape changes. Induces pseudopodia formation in fibroblasts in a CDC42-dependent manner. {ECO:0000269|PubMed:10490598, ECO:0000269|PubMed:11035016}."
"O14617"	"unknown"	"GOLGI"	0.999992447051905	1	"Undefined"	"NUCLEOPLASM-2"	1	1	"Undefined"	0.998055812920264	0.997466646610858	"AP3D1 PRO0039"	"AP3D1_HUMAN"	"AP-3 complex subunit delta-1 (AP-3 complex subunit delta) (Adaptor-related protein complex 3 subunit delta-1) (Delta-adaptin)"	"FUNCTION: Part of the AP-3 complex, an adaptor-related complex which is not clathrin-associated. The complex is associated with the Golgi region as well as more peripheral structures. It facilitates the budding of vesicles from the Golgi membrane and may be directly involved in trafficking to lysosomes. Involved in process of CD8+ T-cell and NK cell degranulation (PubMed:26744459). In concert with the BLOC-1 complex, AP-3 is required to target cargos into vesicles assembled at cell bodies for delivery into neurites and nerve terminals (By similarity). {ECO:0000250|UniProtKB:O54774, ECO:0000269|PubMed:26744459}."
"O14656"	"unknown"	"PM"	0.998303070218351	0	"PM"	"ER"	0.995581840457015	0	"ER"	0.998074950749326	0.997379386672454	"TOR1A DQ2 DYT1 TA TORA"	"TOR1A_HUMAN"	"Torsin-1A (Dystonia 1 protein) (Torsin ATPase-1A) (EC 3.6.4.-) (Torsin family 1 member A)"	"FUNCTION: Protein with chaperone functions important for the control of protein folding, processing, stability and localization as well as for the reduction of misfolded protein aggregates. Involved in the regulation of synaptic vesicle recycling, controls STON2 protein stability in collaboration with the COP9 signalosome complex (CSN). In the nucleus, may link the cytoskeleton with the nuclear envelope, this mechanism seems to be crucial for the control of nuclear polarity, cell movement and, specifically in neurons, nuclear envelope integrity. Participates in the cellular trafficking and may regulate the subcellular location of multipass membrane proteins such as the dopamine transporter SLC6A3, leading to the modulation of dopamine neurotransmission. In the endoplasmic reticulum, plays a role in the quality control of protein folding by increasing clearance of misfolded proteins such as SGCE variants or holding them in an intermediate state for proper refolding. May have a redundant function with TOR1B in non-neural tissues. {ECO:0000269|PubMed:15505207, ECO:0000269|PubMed:16361107, ECO:0000269|PubMed:17428918, ECO:0000269|PubMed:18167355, ECO:0000269|PubMed:18827015, ECO:0000269|PubMed:19339278, ECO:0000269|PubMed:20169475, ECO:0000269|PubMed:23569223}."
"O14745"	"unknown"	"PM"	0.999860349625321	1	"Undefined"	"ER"	1	1	"Undefined"	0.998050172183442	0.997450228348752	"SLC9A3R1 NHERF NHERF1"	"NHRF1_HUMAN"	"Na(+)/H(+) exchange regulatory cofactor NHE-RF1 (NHERF-1) (Ezrin-radixin-moesin-binding phosphoprotein 50) (EBP50) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform A3 regulatory factor 1)"	"FUNCTION: Scaffold protein that connects plasma membrane proteins with members of the ezrin/moesin/radixin family and thereby helps to link them to the actin cytoskeleton and to regulate their surface expression. Necessary for recycling of internalized ADRB2. Was first known to play a role in the regulation of the activity and subcellular location of SLC9A3. Necessary for cAMP-mediated phosphorylation and inhibition of SLC9A3. May enhance Wnt signaling. May participate in HTR4 targeting to microvilli (By similarity). Involved in the regulation of phosphate reabsorption in the renal proximal tubules. Involved in sperm capacitation. May participate in the regulation of the chloride and bicarbonate homeostasis in spermatozoa. {ECO:0000250, ECO:0000269|PubMed:10499588, ECO:0000269|PubMed:18784102, ECO:0000269|PubMed:9096337, ECO:0000269|PubMed:9430655}."
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"O14966"	"unknown"	"ER"	1	0	"ER"	"PEROXISOME"	0.999999968236641	0	"PEROXISOME"	0.998016979535257	0.99737725804403	"RAB29 RAB7L1"	"RAB7L_HUMAN"	"Ras-related protein Rab-7L1 (Rab-7-like protein 1) (Ras-related protein Rab-29)"	"FUNCTION: The small GTPases Rab are key regulators in vesicle trafficking (PubMed:24788816). Essential for maintaining the integrity of the endosome-trans-Golgi network structure (By similarity). Together with LRRK2, plays a role in the retrograde trafficking pathway for recycling proteins, such as mannose 6 phosphate receptor (M6PR), between lysosomes and the Golgi apparatus in a retromer-dependent manner (PubMed:24788816). Recruits LRRK2 to the Golgi complex and stimulates LRRK2 kinase activity (PubMed:29212815). Regulates neuronal process morphology in the intact central nervous system (CNS) (By similarity). May play a role in the formation of typhoid toxin transport intermediates during Salmonella enterica serovar Typhi (S.Typhi) epithelial cell infection (PubMed:22042847). {ECO:0000250|UniProtKB:Q63481, ECO:0000269|PubMed:22042847, ECO:0000269|PubMed:24788816, ECO:0000269|PubMed:29212815}."
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"O15231"	"unknown"	"CYTOSOL"	0.999691006658639	1	"Undefined"	"NUCLEOPLASM-2"	0.999999998397818	1	"Undefined"	0.998200848021309	0.997684795259133	"ZNF185"	"ZN185_HUMAN"	"Zinc finger protein 185 (LIM domain protein ZNF185) (P1-A)"	"FUNCTION: May be involved in the regulation of cellular proliferation and/or differentiation."
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"O15347"	"unknown"	"CYTOSOL"	0.99733081169515	1	"Undefined"	"NUCLEOPLASM-2"	0.999999677307893	0	"NUCLEOPLASM-2"	0.994072830890377	0.992009105255018	"HMGB3 HMG2A HMG4"	"HMGB3_HUMAN"	"High mobility group protein B3 (High mobility group protein 2a) (HMG-2a) (High mobility group protein 4) (HMG-4)"	"FUNCTION: Multifunctional protein with various roles in different cellular compartments. May act in a redox sensitive manner. Associates with chromatin and binds DNA with a preference to non-canonical DNA structures such as single-stranded DNA. Can bent DNA and enhance DNA flexibility by looping thus providing a mechanism to promote activities on various gene promoters (By similarity). Proposed to be involved in the innate immune response to nucleic acids by acting as a cytoplasmic promiscuous immunogenic DNA/RNA sensor (By similarity). Negatively regulates B-cell and myeloid cell differentiation. In hematopoietic stem cells may regulate the balance between self-renewal and differentiation. Involved in negative regulation of canonical Wnt signaling (By similarity). {ECO:0000250|UniProtKB:O54879, ECO:0000250|UniProtKB:P09429, ECO:0000250|UniProtKB:P40618}."
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"O15439"	"unknown"	"PEROXISOME"	0.997878707817224	0	"PEROXISOME"	"MITOCHONDRIA"	0.999999999999911	0	"MITOCHONDRIA"	0.998088825403212	0.99749138766631	"ABCC4 MOATB MRP4"	"MRP4_HUMAN"	"ATP-binding cassette sub-family C member 4 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (MRP/cMOAT-related ABC transporter) (Multi-specific organic anion transporter B) (MOAT-B) (Multidrug resistance-associated protein 4)"	"FUNCTION: ATP-dependent transporter of the ATP-binding cassette (ABC) family that actively extrudes physiological compounds and xenobiotics from cells. Transports a range of endogenous molecules that have a key role in cellular communication and signaling, including cyclic nucleotides such as cyclic AMP (cAMP) and cyclic GMP (cGMP), bile acids, steroid conjugates, urate, and prostaglandins (PubMed:11856762, PubMed:12883481, PubMed:12523936, PubMed:12835412, PubMed:15364914, PubMed:15454390, PubMed:16282361, PubMed:17959747, PubMed:18300232, PubMed:26721430). Mediates the ATP-dependent efflux of glutathione conjugates such as leukotriene C4 (LTC4) and leukotriene B4 (LTB4) too. The presence of GSH is necessary for the ATP-dependent transport of LTB4, whereas GSH is not required for the transport of LTC4 (PubMed:17959747). Mediates the cotransport of bile acids with reduced glutathione (GSH) (PubMed:12883481, PubMed:12523936, PubMed:16282361). Transports a wide range of drugs and their metabolites, including anticancer, antiviral and antibiotics molecules (PubMed:11856762, PubMed:12105214, PubMed:15454390, PubMed:18300232, PubMed:17344354). Confers resistance to anticancer agents such as methotrexate (PubMed:11106685). {ECO:0000269|PubMed:11106685, ECO:0000269|PubMed:11856762, ECO:0000269|PubMed:12105214, ECO:0000269|PubMed:12523936, ECO:0000269|PubMed:12835412, ECO:0000269|PubMed:12883481, ECO:0000269|PubMed:15364914, ECO:0000269|PubMed:15454390, ECO:0000269|PubMed:16282361, ECO:0000269|PubMed:17344354, ECO:0000269|PubMed:17959747, ECO:0000269|PubMed:18300232, ECO:0000269|PubMed:26721430}."
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"O15479"	"unknown"	"RIBOSOME"	1	0	"RIBOSOME"	"NUCLEOPLASM-1"	0.900641268865924	0.112	"Undefined"	0.998103657599068	0.997396411959304	"MAGEB2"	"MAGB2_HUMAN"	"Melanoma-associated antigen B2 (Cancer/testis antigen 3.2) (CT3.2) (DSS-AHC critical interval MAGE superfamily 6) (DAM6) (MAGE XP-2 antigen) (MAGE-B2 antigen)"	"FUNCTION: May enhance ubiquitin ligase activity of RING-type zinc finger-containing E3 ubiquitin-protein ligases. Proposed to act through recruitment and/or stabilization of the Ubl-conjugating enzyme (E2) at the E3:substrate complex. {ECO:0000269|PubMed:20864041}."
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"O43301"	"unknown"	"GOLGI"	0.999999999689302	1	"Undefined"	"NUCLEOPLASM-2"	0.999999908250412	1	"Undefined"	0.997955444696754	0.99739058420447	"HSPA12A KIAA0417"	"HS12A_HUMAN"	"Heat shock 70 kDa protein 12A"	"FUNCTION: Adapter protein for SORL1, but not SORT1. Delays SORL1 internalization and affects SORL1 subcellular localization. {ECO:0000269|PubMed:30679749}."
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"O43491"	"unknown"	"PM"	0.999999928518169	0	"PM"	"ER"	0.999998497643689	0	"ER"	0.997986703817618	0.997400141920957	"EPB41L2"	"E41L2_HUMAN"	"Band 4.1-like protein 2 (Erythrocyte membrane protein band 4.1-like 2) (Generally expressed protein 4.1) (4.1G)"	"FUNCTION: Required for dynein-dynactin complex and NUMA1 recruitment at the mitotic cell cortex during anaphase (PubMed:23870127). {ECO:0000269|PubMed:23870127}."
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"O43633"	"unknown"	"CYTOSOL"	0.999999999922805	1	"Undefined"	"NUCLEOPLASM-2"	0.999916236955736	1	"Undefined"	0.997999951637382	0.997411167759455	"CHMP2A BC2 CHMP2"	"CHM2A_HUMAN"	"Charged multivesicular body protein 2a (Chromatin-modifying protein 2a) (CHMP2a) (Putative breast adenocarcinoma marker BC-2) (Vacuolar protein sorting-associated protein 2-1) (Vps2-1) (hVps2-1)"	"FUNCTION: Probable core component of the endosomal sorting required for transport complex III (ESCRT-III) which is involved in multivesicular bodies (MVBs) formation and sorting of endosomal cargo proteins into MVBs. MVBs contain intraluminal vesicles (ILVs) that are generated by invagination and scission from the limiting membrane of the endosome and mostly are delivered to lysosomes enabling degradation of membrane proteins, such as stimulated growth factor receptors, lysosomal enzymes and lipids. The MVB pathway appears to require the sequential function of ESCRT-O, -I,-II and -III complexes. ESCRT-III proteins mostly dissociate from the invaginating membrane before the ILV is released. The ESCRT machinery also functions in topologically equivalent membrane fission events, such as the terminal stages of cytokinesis (PubMed:21310966). Together with SPAST, the ESCRT-III complex promotes nuclear envelope sealing and mitotic spindle disassembly during late anaphase (PubMed:26040712). ESCRT-III proteins are believed to mediate the necessary vesicle extrusion and/or membrane fission activities, possibly in conjunction with the AAA ATPase VPS4. {ECO:0000269|PubMed:21310966, ECO:0000269|PubMed:26040712, ECO:0000305}.; FUNCTION: (Microbial infection) The ESCRT machinery functions in topologically equivalent membrane fission events, such as the budding of enveloped viruses (HIV-1 and other lentiviruses). Involved in HIV-1 p6- and p9-dependent virus release. {ECO:0000269|PubMed:14505570, ECO:0000269|PubMed:14519844}."
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"O43707"	"unknown"	"CYTOSOL"	0.999997629568483	1	"Undefined"	"NUCLEOPLASM-2"	0.999999999999999	1	"Undefined"	0.99801340262179	0.997450179324351	"ACTN4"	"ACTN4_HUMAN"	"Alpha-actinin-4 (Non-muscle alpha-actinin 4)"	"FUNCTION: F-actin cross-linking protein which is thought to anchor actin to a variety of intracellular structures. This is a bundling protein (Probable). Probably involved in vesicular trafficking via its association with the CART complex. The CART complex is necessary for efficient transferrin receptor recycling but not for EGFR degradation (PubMed:15772161). Involved in tight junction assembly in epithelial cells probably through interaction with MICALL2. Links MICALL2 to the actin cytoskeleton and recruits it to the tight junctions (By similarity). May also function as a transcriptional coactivator, stimulating transcription mediated by the nuclear hormone receptors PPARG and RARA (PubMed:22351778). {ECO:0000250|UniProtKB:P57780, ECO:0000269|PubMed:15772161, ECO:0000269|PubMed:22351778, ECO:0000305|PubMed:9508771}."
"O43708"	"unknown"	"PEROXISOME"	0.999927956200178	0.078	"Undefined"	"MITOCHONDRIA"	0.999999999765374	0	"MITOCHONDRIA"	0.99801749651088	0.997469743388466	"GSTZ1 MAAI"	"MAAI_HUMAN"	"Maleylacetoacetate isomerase (MAAI) (EC 5.2.1.2) (GSTZ1-1) (Glutathione S-transferase zeta 1) (EC 2.5.1.18)"	"FUNCTION: Bifunctional enzyme showing minimal glutathione-conjugating activity with ethacrynic acid and 7-chloro-4-nitrobenz-2-oxa-1,3-diazole and maleylacetoacetate isomerase activity. Has also low glutathione peroxidase activity with T-butyl and cumene hydroperoxides. Is able to catalyze the glutathione dependent oxygenation of dichloroacetic acid to glyoxylic acid. {ECO:0000269|PubMed:10739172}."
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
